risk_id,risk_title,risk_description,department,risk_category,asset_type,risk_owner,likelihood,impact,asset_criticality,data_sensitivity,vulnerability_count,critical_vulnerability_count,past_incident_count,policy_violation_count,audit_finding_count,third_party_dependency,number_of_controls,control_effectiveness,control_test_pass_rate,days_since_control_test,open_control_deficiencies,regulatory_relevance,treatment_status,treatment_due_days,risk_accepted,days_open,inherent_risk_score,residual_risk_score,adjusted_risk_score,risk_level,action_status
R00026,Access Management risk affecting database,Potential access management event may affect the database used by Procurement.,Procurement,Access Management,Database,N. Silva,3,2,3,3,9,1,0,2,6,0,3,0.709,0.608,319,3,SOX,Implemented,-143,0,237,6,1.75,4.93,Low,Closed
R00027,Data Privacy risk affecting vendor service,Potential data privacy event may affect the vendor service used by Legal.,Legal,Data Privacy,Vendor Service,D. Senanayake,3,4,4,3,1,1,1,0,2,1,6,0.769,0.768,7,2,GDPR,Implemented,-285,0,299,12,2.77,7.74,Medium,Closed
R00028,Business Continuity risk affecting erp system,Potential business continuity event may affect the erp system used by Operations.,Operations,Business Continuity,ERP System,A. Perera,4,3,3,5,2,1,0,4,6,0,2,0.636,0.635,350,2,Local Privacy Law,Not Started,-131,0,863,12,4.37,5.24,Low,Overdue
R00029,Access Management risk affecting web application,Potential access management event may affect the web application used by Finance.,Finance,Access Management,Web Application,M. Wijesinghe,1,2,4,3,2,0,1,0,0,0,6,0.521,0.606,138,3,None,In Progress,203,0,470,2,0.96,1.75,Low,Open
R00030,Third-Party risk affecting vendor service,Potential third-party event may affect the vendor service used by Information Technology.,Information Technology,Third-Party,Vendor Service,N. Silva,2,5,4,1,3,3,0,0,1,1,1,0.629,0.545,489,2,None,Implemented,-153,0,765,10,3.71,3.14,Low,Closed
R00031,Business Continuity risk affecting erp system,Potential business continuity event may affect the erp system used by Procurement.,Procurement,Business Continuity,ERP System,K. Fernando,4,4,1,4,9,1,0,1,3,1,7,0.418,0.261,122,2,PCI DSS,Not Started,125,0,797,16,9.31,13.44,High,Open
R00032,Operational risk affecting cloud service,Potential operational event may affect the cloud service used by Customer Support.,Customer Support,Operational,Cloud Service,T. Karunaratne,3,5,4,4,13,0,0,1,2,0,5,0.437,0.506,34,5,GDPR,Not Started,184,0,707,15,8.45,10.71,High,Open
R00033,Data Privacy risk affecting hr platform,Potential data privacy event may affect the hr platform used by Information Technology.,Information Technology,Data Privacy,HR Platform,R. Gunawardena,2,3,3,5,7,1,0,4,1,0,3,0.672,0.643,491,2,NIST CSF,Risk Accepted,-331,1,708,6,1.97,4.3,Low,Open
R00034,Financial risk affecting cloud service,Potential financial event may affect the cloud service used by Information Technology.,Information Technology,Financial,Cloud Service,D. Senanayake,3,2,3,2,2,2,0,0,1,0,3,0.652,0.618,290,4,SOX,In Progress,-167,0,696,6,2.09,3.57,Low,Overdue
R00035,Operational risk affecting erp system,Potential operational event may affect the erp system used by Information Technology.,Information Technology,Operational,ERP System,N. Silva,4,3,3,4,9,2,0,1,1,0,5,0.841,0.881,229,1,Local Privacy Law,In Progress,46,0,439,12,1.9,2.68,Low,Open
R00036,Data Privacy risk affecting erp system,Potential data privacy event may affect the erp system used by Finance.,Finance,Data Privacy,ERP System,K. Fernando,3,3,2,2,3,0,0,1,2,0,6,0.176,0.162,296,3,PCI DSS,In Progress,-14,0,122,9,7.41,9.26,Medium,Overdue
R00037,Access Management risk affecting hr platform,Potential access management event may affect the hr platform used by Legal.,Legal,Access Management,HR Platform,T. Karunaratne,4,4,3,5,6,1,0,1,2,0,6,0.655,0.752,41,3,NIST CSF,In Progress,57,0,796,16,5.52,7.6,Medium,Open
R00038,Financial risk affecting hr platform,Potential financial event may affect the hr platform used by Sales.,Sales,Financial,HR Platform,N. Silva,1,3,4,3,3,1,1,6,2,0,5,0.377,0.407,312,3,ISO 27001,Not Started,-5,0,466,3,1.87,4.91,Low,Overdue
R00039,Regulatory Compliance risk affecting web application,Potential regulatory compliance event may affect the web application used by Operations.,Operations,Regulatory Compliance,Web Application,M. Wijesinghe,3,4,2,3,2,0,0,4,3,0,6,0.444,0.39,342,4,GDPR,In Progress,-137,0,137,12,6.67,8.18,Medium,Overdue
R00040,Data Privacy risk affecting payment system,Potential data privacy event may affect the payment system used by Legal.,Legal,Data Privacy,Payment System,T. Karunaratne,4,3,3,3,4,0,0,4,2,0,6,0.804,1.0,86,2,SOX,Implemented,4,0,833,12,2.35,5.35,Low,Closed
R00041,Financial risk affecting endpoint fleet,Potential financial event may affect the endpoint fleet used by Information Technology.,Information Technology,Financial,Endpoint Fleet,K. Fernando,4,3,3,1,3,2,1,4,1,1,5,0.449,0.405,436,3,SOX,Not Started,-138,0,876,12,6.62,9.53,High,Overdue
R00042,Data Privacy risk affecting endpoint fleet,Potential data privacy event may affect the endpoint fleet used by Procurement.,Procurement,Data Privacy,Endpoint Fleet,R. Gunawardena,2,4,1,4,5,1,0,0,1,1,7,0.521,0.477,318,3,PCI DSS,Implemented,-85,0,225,8,3.83,5.51,Medium,Closed
R00043,Operational risk affecting endpoint fleet,Potential operational event may affect the endpoint fleet used by Information Technology.,Information Technology,Operational,Endpoint Fleet,N. Silva,3,3,2,4,5,0,0,1,1,0,1,0.518,0.72,25,3,Local Privacy Law,Risk Accepted,-236,1,401,9,4.34,5.42,Low,Open
R00044,Data Privacy risk affecting hr platform,Potential data privacy event may affect the hr platform used by Finance.,Finance,Data Privacy,HR Platform,M. Wijesinghe,2,4,4,3,15,0,2,4,1,0,7,0.548,0.67,185,2,Local Privacy Law,Planned,229,0,344,8,3.62,5.68,Medium,Open
R00045,Business Continuity risk affecting vendor service,Potential business continuity event may affect the vendor service used by Human Resources.,Human Resources,Business Continuity,Vendor Service,R. Gunawardena,3,2,4,3,6,1,1,2,0,1,3,0.806,0.654,469,1,None,Planned,225,0,450,6,1.16,3.68,Low,Open
R00046,Regulatory Compliance risk affecting web application,Potential regulatory compliance event may affect the web application used by Finance.,Finance,Regulatory Compliance,Web Application,D. Senanayake,3,4,4,3,1,1,1,2,1,0,5,0.728,0.702,16,1,GDPR,Not Started,216,0,580,12,3.26,3.63,Low,Open
R00047,Third-Party risk affecting erp system,Potential third-party event may affect the erp system used by Sales.,Sales,Third-Party,ERP System,T. Karunaratne,2,1,3,4,1,1,3,3,1,1,2,0.671,0.62,105,2,NIST CSF,Implemented,-352,0,247,2,0.66,3.23,Low,Closed
R00048,Regulatory Compliance risk affecting database,Potential regulatory compliance event may affect the database used by Legal.,Legal,Regulatory Compliance,Database,S. Jayasinghe,4,4,4,3,5,1,0,1,0,0,5,0.581,0.47,31,3,PCI DSS,Planned,183,0,173,16,6.7,7.02,Medium,Open
R00049,Operational risk affecting database,Potential operational event may affect the database used by Finance.,Finance,Operational,Database,T. Karunaratne,3,5,3,3,4,1,2,2,2,1,1,0.552,0.758,282,3,None,In Progress,232,0,314,15,6.73,10.38,High,Open
R00050,Cybersecurity risk affecting cloud service,Potential cybersecurity event may affect the cloud service used by Information Technology.,Information Technology,Cybersecurity,Cloud Service,T. Karunaratne,2,2,4,3,8,2,1,1,1,1,3,0.859,0.99,464,1,ISO 27001,Planned,-99,0,325,4,0.56,3.93,Low,Overdue
R00051,Access Management risk affecting vendor service,Potential access management event may affect the vendor service used by Customer Support.,Customer Support,Access Management,Vendor Service,M. Wijesinghe,4,2,4,4,5,1,0,1,1,1,1,0.664,0.494,146,2,SOX,In Progress,-115,0,701,8,2.69,5.99,Medium,Overdue
R00052,Financial risk affecting cloud service,Potential financial event may affect the cloud service used by Operations.,Operations,Financial,Cloud Service,D. Senanayake,3,3,4,3,2,1,1,1,1,0,3,0.69,0.69,291,1,PCI DSS,Implemented,-152,0,344,9,2.79,6.4,Medium,Closed
R00053,Cybersecurity risk affecting vendor service,Potential cybersecurity event may affect the vendor service used by Legal.,Legal,Cybersecurity,Vendor Service,T. Karunaratne,3,4,4,3,7,1,2,1,1,1,6,0.508,0.543,449,0,GDPR,Not Started,-110,0,749,12,5.91,6.76,Medium,Overdue
R00054,Financial risk affecting cloud service,Potential financial event may affect the cloud service used by Operations.,Operations,Financial,Cloud Service,K. Fernando,3,2,4,2,18,1,0,4,3,0,5,0.887,0.844,349,0,GDPR,Planned,215,0,843,6,0.68,1.43,Low,Open
R00055,Operational risk affecting database,Potential operational event may affect the database used by Finance.,Finance,Operational,Database,S. Jayasinghe,2,4,3,5,3,0,1,2,1,1,7,0.442,0.298,390,3,PCI DSS,Planned,-150,0,333,8,4.47,7.5,Medium,Overdue
R00056,Cybersecurity risk affecting cloud service,Potential cybersecurity event may affect the cloud service used by Operations.,Operations,Cybersecurity,Cloud Service,A. Perera,3,1,4,3,19,0,0,2,1,0,5,0.454,0.443,101,3,PCI DSS,Planned,-85,0,668,3,1.64,2.16,Low,Overdue
R00057,Operational risk affecting endpoint fleet,Potential operational event may affect the endpoint fleet used by Sales.,Sales,Operational,Endpoint Fleet,D. Senanayake,4,5,5,2,6,2,0,1,1,0,3,0.79,0.802,241,3,None,Implemented,-5,0,420,20,4.21,6.53,Medium,Closed
R00058,Third-Party risk affecting endpoint fleet,Potential third-party event may affect the endpoint fleet used by Finance.,Finance,Third-Party,Endpoint Fleet,S. Jayasinghe,2,4,3,1,4,3,2,2,2,1,3,0.774,0.858,261,1,None,In Progress,-121,0,879,8,1.81,6.19,Medium,Overdue
R00059,Access Management risk affecting database,Potential access management event may affect the database used by Sales.,Sales,Access Management,Database,K. Fernando,4,3,4,4,5,1,1,2,9,0,3,0.494,0.431,459,2,GDPR,Implemented,-172,0,464,12,6.07,8.45,Medium,Closed
R00060,Financial risk affecting database,Potential financial event may affect the database used by Sales.,Sales,Financial,Database,A. Perera,4,4,4,2,1,1,1,1,1,0,1,0.337,0.308,458,4,ISO 27001,Not Started,126,0,613,16,10.6,12.94,High,Open
R00061,Cybersecurity risk affecting payment system,Potential cybersecurity event may affect the payment system used by Information Technology.,Information Technology,Cybersecurity,Payment System,M. Wijesinghe,2,4,3,2,6,0,1,4,1,0,5,0.838,0.998,323,0,NIST CSF,In Progress,-4,0,574,8,1.3,3.83,Low,Overdue
R00062,Business Continuity risk affecting cloud service,Potential business continuity event may affect the cloud service used by Sales.,Sales,Business Continuity,Cloud Service,S. Jayasinghe,2,3,4,2,3,0,0,1,1,0,1,0.935,0.917,100,1,ISO 27001,Implemented,-269,0,45,6,0.39,1.37,Low,Closed
R00063,Financial risk affecting erp system,Potential financial event may affect the erp system used by Human Resources.,Human Resources,Financial,ERP System,R. Gunawardena,3,3,5,2,2,1,1,1,1,0,1,0.641,0.666,26,3,SOX,Planned,-106,0,889,9,3.23,6.88,Medium,Overdue
R00064,Third-Party risk affecting hr platform,Potential third-party event may affect the hr platform used by Finance.,Finance,Third-Party,HR Platform,A. Perera,3,3,4,4,12,2,1,1,2,1,5,0.879,1.0,27,1,Local Privacy Law,Not Started,-103,0,241,9,1.09,2.76,Low,Overdue
R00065,Access Management risk affecting hr platform,Potential access management event may affect the hr platform used by Information Technology.,Information Technology,Access Management,HR Platform,N. Silva,4,4,5,3,6,0,1,1,1,1,1,0.618,0.509,43,3,None,In Progress,-56,0,420,16,6.11,9.51,High,Overdue
R00066,Cybersecurity risk affecting database,Potential cybersecurity event may affect the database used by Sales.,Sales,Cybersecurity,Database,R. Gunawardena,3,3,4,2,20,1,1,1,3,0,1,0.781,0.802,86,0,GDPR,Implemented,-196,0,698,9,1.97,2.89,Low,Closed
R00067,Regulatory Compliance risk affecting database,Potential regulatory compliance event may affect the database used by Legal.,Legal,Regulatory Compliance,Database,D. Senanayake,1,3,4,4,12,1,0,1,1,0,1,0.84,0.829,404,2,Local Privacy Law,Implemented,-203,0,162,3,0.48,1.77,Low,Closed
R00068,Operational risk affecting database,Potential operational event may affect the database used by Human Resources.,Human Resources,Operational,Database,N. Silva,3,4,4,2,5,1,1,1,1,0,2,0.737,0.778,157,1,None,In Progress,67,0,287,12,3.15,5.21,Low,Open
R00069,Third-Party risk affecting vendor service,Potential third-party event may affect the vendor service used by Finance.,Finance,Third-Party,Vendor Service,A. Perera,3,3,4,4,8,1,3,1,1,1,4,0.693,0.562,204,3,PCI DSS,Risk Accepted,-263,1,121,9,2.76,5.34,Low,Open
R00070,Access Management risk affecting endpoint fleet,Potential access management event may affect the endpoint fleet used by Customer Support.,Customer Support,Access Management,Endpoint Fleet,M. Wijesinghe,2,2,4,2,13,1,0,3,0,0,4,0.915,0.742,362,1,NIST CSF,Not Started,-53,0,92,4,0.34,0.5,Low,Overdue
R00071,Cybersecurity risk affecting payment system,Potential cybersecurity event may affect the payment system used by Information Technology.,Information Technology,Cybersecurity,Payment System,M. Wijesinghe,4,3,3,3,6,2,2,1,3,1,1,0.468,0.415,404,3,None,Planned,-131,0,499,12,6.38,8.39,Medium,Overdue
R00072,Cybersecurity risk affecting database,Potential cybersecurity event may affect the database used by Information Technology.,Information Technology,Cybersecurity,Database,T. Karunaratne,4,4,3,5,10,1,1,2,3,0,2,0.751,0.864,410,2,SOX,In Progress,-80,0,196,16,3.99,6.69,Medium,Overdue
R00073,Access Management risk affecting network infrastructure,Potential access management event may affect the network infrastructure used by Information Technology.,Information Technology,Access Management,Network Infrastructure,T. Karunaratne,4,3,2,4,2,1,2,2,1,0,2,0.835,0.891,358,2,Local Privacy Law,In Progress,70,0,182,12,1.98,3.99,Low,Open
R00074,Financial risk affecting web application,Potential financial event may affect the web application used by Operations.,Operations,Financial,Web Application,T. Karunaratne,3,2,3,2,9,1,1,2,1,0,5,0.72,0.806,61,1,PCI DSS,Implemented,-344,0,560,6,1.68,4.43,Low,Closed
R00075,Business Continuity risk affecting database,Potential business continuity event may affect the database used by Operations.,Operations,Business Continuity,Database,D. Senanayake,3,2,3,5,1,1,1,4,5,0,5,0.577,0.556,463,4,Local Privacy Law,Not Started,204,0,839,6,2.54,6.77,Medium,Open
R00076,Regulatory Compliance risk affecting cloud service,Potential regulatory compliance event may affect the cloud service used by Procurement.,Procurement,Regulatory Compliance,Cloud Service,N. Silva,1,3,5,4,9,1,1,2,0,0,3,0.615,0.466,436,2,GDPR,Implemented,-182,0,655,3,1.16,1.52,Low,Closed
R00077,Business Continuity risk affecting endpoint fleet,Potential business continuity event may affect the endpoint fleet used by Legal.,Legal,Business Continuity,Endpoint Fleet,K. Fernando,5,3,2,3,4,0,3,2,0,1,4,0.258,0.356,84,5,SOX,Not Started,4,0,285,15,11.12,14.44,High,Open
R00078,Operational risk affecting endpoint fleet,Potential operational event may affect the endpoint fleet used by Information Technology.,Information Technology,Operational,Endpoint Fleet,N. Silva,4,3,3,4,1,1,0,0,3,0,1,0.805,0.844,73,0,NIST CSF,Risk Accepted,-292,1,661,12,2.34,4.83,Low,Open
R00079,Cybersecurity risk affecting cloud service,Potential cybersecurity event may affect the cloud service used by Operations.,Operations,Cybersecurity,Cloud Service,S. Jayasinghe,2,4,3,3,9,0,1,0,0,0,5,0.899,0.947,313,0,None,In Progress,150,0,770,8,0.81,3.57,Low,Open
R00080,Data Privacy risk affecting endpoint fleet,Potential data privacy event may affect the endpoint fleet used by Operations.,Operations,Data Privacy,Endpoint Fleet,M. Wijesinghe,3,2,3,1,2,1,2,0,2,0,4,0.575,0.526,81,2,SOX,Risk Accepted,-286,1,213,6,2.55,5.34,Low,Open
R00081,Data Privacy risk affecting erp system,Potential data privacy event may affect the erp system used by Human Resources.,Human Resources,Data Privacy,ERP System,N. Silva,2,2,3,3,2,1,0,3,1,0,7,0.813,0.926,63,0,ISO 27001,Implemented,-226,0,348,4,0.75,0.75,Low,Closed
R00082,Financial risk affecting web application,Potential financial event may affect the web application used by Operations.,Operations,Financial,Web Application,T. Karunaratne,3,2,3,2,2,1,1,0,1,0,6,0.574,0.631,347,3,SOX,Risk Accepted,-330,1,52,6,2.56,3.78,Low,Open
R00083,Operational risk affecting hr platform,Potential operational event may affect the hr platform used by Procurement.,Procurement,Operational,HR Platform,T. Karunaratne,4,4,3,4,13,0,3,2,0,1,5,0.377,0.524,437,3,Local Privacy Law,Planned,-75,0,749,16,9.97,12.29,High,Overdue
R00084,Regulatory Compliance risk affecting erp system,Potential regulatory compliance event may affect the erp system used by Customer Support.,Customer Support,Regulatory Compliance,ERP System,N. Silva,3,5,4,4,10,1,0,4,4,0,1,0.592,0.519,186,3,PCI DSS,Planned,-119,0,479,15,6.12,8.74,Medium,Overdue
R00085,Operational risk affecting web application,Potential operational event may affect the web application used by Information Technology.,Information Technology,Operational,Web Application,R. Gunawardena,3,5,4,4,1,1,0,0,1,0,1,0.895,0.846,466,1,PCI DSS,Not Started,56,0,130,15,1.58,5.27,Low,Open
R00086,Business Continuity risk affecting vendor service,Potential business continuity event may affect the vendor service used by Procurement.,Procurement,Business Continuity,Vendor Service,T. Karunaratne,3,4,3,3,3,2,0,2,1,1,2,0.809,0.87,281,2,GDPR,In Progress,220,0,372,12,2.3,1.2,Low,Open
R00087,Financial risk affecting payment system,Potential financial event may affect the payment system used by Finance.,Finance,Financial,Payment System,M. Wijesinghe,3,4,3,3,14,1,0,1,2,0,7,0.827,0.862,306,0,PCI DSS,Implemented,-182,0,830,12,2.08,3.15,Low,Closed
R00088,Regulatory Compliance risk affecting endpoint fleet,Potential regulatory compliance event may affect the endpoint fleet used by Customer Support.,Customer Support,Regulatory Compliance,Endpoint Fleet,M. Wijesinghe,3,4,2,4,1,0,0,0,0,1,1,0.913,0.89,72,2,GDPR,In Progress,69,0,815,12,1.04,1.83,Low,Open
R00089,Financial risk affecting endpoint fleet,Potential financial event may affect the endpoint fleet used by Information Technology.,Information Technology,Financial,Endpoint Fleet,A. Perera,2,1,2,4,4,0,1,4,1,0,5,0.434,0.495,456,3,ISO 27001,Implemented,-38,0,846,2,1.13,2.91,Low,Closed
R00090,Third-Party risk affecting database,Potential third-party event may affect the database used by Finance.,Finance,Third-Party,Database,T. Karunaratne,2,2,5,4,5,0,1,4,2,1,1,0.768,0.737,377,3,ISO 27001,In Progress,134,0,351,4,0.93,5.47,Low,Open
R00091,Business Continuity risk affecting cloud service,Potential business continuity event may affect the cloud service used by Sales.,Sales,Business Continuity,Cloud Service,D. Senanayake,2,2,4,3,7,1,0,1,2,1,1,0.55,0.61,152,2,Local Privacy Law,Implemented,-208,0,489,4,1.8,4.24,Low,Closed
R00092,Business Continuity risk affecting cloud service,Potential business continuity event may affect the cloud service used by Information Technology.,Information Technology,Business Continuity,Cloud Service,K. Fernando,2,2,4,3,5,0,0,0,2,0,4,0.772,0.799,440,1,SOX,In Progress,137,0,824,4,0.91,0.45,Low,Open
R00093,Access Management risk affecting cloud service,Potential access management event may affect the cloud service used by Information Technology.,Information Technology,Access Management,Cloud Service,N. Silva,3,3,3,4,9,1,2,0,2,0,7,0.28,0.323,293,4,SOX,Implemented,-314,0,601,9,6.48,10.71,High,Closed
R00094,Financial risk affecting payment system,Potential financial event may affect the payment system used by Legal.,Legal,Financial,Payment System,D. Senanayake,2,3,5,3,2,2,1,0,1,0,7,0.606,0.557,53,3,PCI DSS,In Progress,-16,0,766,6,2.36,4.83,Low,Overdue
R00095,Data Privacy risk affecting endpoint fleet,Potential data privacy event may affect the endpoint fleet used by Sales.,Sales,Data Privacy,Endpoint Fleet,K. Fernando,1,4,2,4,6,0,0,1,2,1,7,0.627,0.551,206,3,Local Privacy Law,Implemented,-242,0,131,4,1.49,2.25,Low,Closed
R00096,Access Management risk affecting network infrastructure,Potential access management event may affect the network infrastructure used by Customer Support.,Customer Support,Access Management,Network Infrastructure,D. Senanayake,4,3,4,4,9,1,1,2,1,0,7,0.869,0.766,413,1,PCI DSS,Risk Accepted,-36,1,734,12,1.58,3.52,Low,Open
R00097,Business Continuity risk affecting hr platform,Potential business continuity event may affect the hr platform used by Human Resources.,Human Resources,Business Continuity,HR Platform,T. Karunaratne,2,3,3,5,8,0,1,1,2,0,3,0.805,0.826,415,0,SOX,Implemented,-17,0,418,6,1.17,2.62,Low,Closed
R00098,Operational risk affecting payment system,Potential operational event may affect the payment system used by Customer Support.,Customer Support,Operational,Payment System,M. Wijesinghe,3,2,4,1,10,2,0,2,1,0,6,0.872,0.711,174,0,None,Planned,223,0,897,6,0.77,1.07,Low,Open
R00099,Operational risk affecting vendor service,Potential operational event may affect the vendor service used by Finance.,Finance,Operational,Vendor Service,R. Gunawardena,3,2,4,2,4,0,1,1,3,1,4,0.701,0.636,399,2,None,Not Started,222,0,787,6,1.79,4.09,Low,Open
